Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Projects Count
"TensorFlow, NLP, Pytorch",10,B.Sc,None,AI Researcher,Hire,8
"Deep Learning, Machine Learning, Python, SQL",10,MBA,Google ML,Data Scientist,Hire,1
"Ethical Hacking, Cybersecurity, Linux",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,7
"Python, Pytorch, TensorFlow",7,B.Tech,AWS Certified,AI Researcher,Hire,0
"SQL, React, Java",4,PhD,None,Software Engineer,Hire,9
"Cybersecurity, Networking, Linux, Ethical Hacking",10,B.Tech,Google ML,Cybersecurity Analyst,Hire,5
"Networking, Cybersecurity, Ethical Hacking",4,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,9
"TensorFlow, Pytorch, NLP",3,M.Tech,AWS Certified,AI Researcher,Hire,7
"Networking, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,3
"Python, TensorFlow, Pytorch, NLP",0,M.Tech,AWS Certified,AI Researcher,Reject,1
"SQL, Java, C++",1,PhD,Deep Learning Specialization,Software Engineer,Hire,7
"Cybersecurity, Ethical Hacking, Networking",0,MBA,Google ML,Cybersecurity Analyst,Reject,5
"Cybersecurity, Networking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,9
"SQL, C++, Java",4,B.Sc,Deep Learning Specialization,Software Engineer,Hire,10
"Pytorch, NLP",0,M.Tech,Deep Learning Specialization,AI Researcher,Reject,5
"Cybersecurity, Networking",1,PhD,Google ML,Cybersecurity Analyst,Reject,6
"SQL, Python",10,PhD,None,Data Scientist,Hire,2
"Linux, Networking, Cybersecurity, Ethical Hacking",3,B.Tech,None,Cybersecurity Analyst,Hire,6
"SQL, Python, Deep Learning",3,MBA,None,Data Scientist,Hire,10
"Machine Learning, SQL, Python",10,B.Tech,Deep Learning Specialization,Data Scientist,Hire,9
"SQL, Java, C++, React",5,B.Sc,None,Software Engineer,Hire,4
"Python, TensorFlow, Pytorch, NLP",6,B.Sc,Google ML,AI Researcher,Hire,10
"Machine Learning, Deep Learning, SQL",4,MBA,AWS Certified,Data Scientist,Hire,8
"TensorFlow, Pytorch, NLP, Python",8,MBA,Deep Learning Specialization,AI Researcher,Hire,0
"Pytorch, TensorFlow, NLP, Python",0,B.Tech,Deep Learning Specialization,AI Researcher,Hire,10
"Python, NLP",7,B.Tech,Deep Learning Specialization,AI Researcher,Hire,10
"Ethical Hacking, Cybersecurity",3,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Reject,2
"Pytorch, NLP",1,M.Tech,None,AI Researcher,Reject,5
"NLP, Pytorch, Python",10,B.Tech,Google ML,AI Researcher,Hire,2
"SQL, Python",10,B.Tech,AWS Certified,Data Scientist,Hire,4
"Python, SQL",4,PhD,None,Data Scientist,Hire,10
"Ethical Hacking, Networking, Linux",1,B.Sc,None,Cybersecurity Analyst,Hire,10
"Deep Learning, Machine Learning, SQL, Python",8,M.Tech,AWS Certified,Data Scientist,Hire,4
"TensorFlow, Python, Pytorch",9,B.Sc,Deep Learning Specialization,AI Researcher,Hire,4
"Networking, Linux, Ethical Hacking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,10
"NLP, Pytorch",7,PhD,AWS Certified,AI Researcher,Hire,6
"Python, NLP",7,M.Tech,Google ML,AI Researcher,Hire,3
"C++, SQL, Java",5,B.Tech,Google ML,Software Engineer,Hire,7
"Linux, Cybersecurity",7,PhD,None,Cybersecurity Analyst,Hire,0
"SQL, Python",1,MBA,AWS Certified,Data Scientist,Hire,8
"C++, React",10,MBA,AWS Certified,Software Engineer,Hire,9
"Networking, Linux",1,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,10
"NLP, TensorFlow, Python",3,M.Tech,None,AI Researcher,Hire,10
"Machine Learning, Python",1,MBA,Deep Learning Specialization,Data Scientist,Hire,8
"SQL, Python, Machine Learning",4,M.Tech,AWS Certified,Data Scientist,Hire,6
"SQL, Java",5,B.Sc,AWS Certified,Software Engineer,Hire,4
"SQL, Java, C++, React",4,MBA,AWS Certified,Software Engineer,Hire,9
"Python, Machine Learning",8,PhD,Google ML,Data Scientist,Hire,9
"React, SQL, Java",1,MBA,Deep Learning Specialization,Software Engineer,Hire,9
"Pytorch, Python",5,B.Tech,Deep Learning Specialization,AI Researcher,Hire,1
"Python, NLP, TensorFlow, Pytorch",5,PhD,None,AI Researcher,Hire,9
"Ethical Hacking, Cybersecurity, Linux",9,M.Tech,None,Cybersecurity Analyst,Hire,3
"SQL, Deep Learning, Machine Learning",1,MBA,None,Data Scientist,Reject,4
"Python, SQL, Machine Learning",9,B.Sc,Google ML,Data Scientist,Hire,2
"Python, SQL, Machine Learning",0,B.Tech,AWS Certified,Data Scientist,Reject,7
"Cybersecurity, Networking, Ethical Hacking",1,B.Sc,Google ML,Cybersecurity Analyst,Reject,4
"C++, Java, SQL, React",3,B.Sc,Google ML,Software Engineer,Hire,3
"Networking, Cybersecurity, Ethical Hacking, Linux",1,B.Sc,AWS Certified,Cybersecurity Analyst,Reject,3
"TensorFlow, Pytorch",2,B.Sc,None,AI Researcher,Reject,1
"Java, React",6,PhD,Google ML,Software Engineer,Hire,4
"Python, Pytorch",0,B.Tech,Deep Learning Specialization,AI Researcher,Hire,10
"SQL, Deep Learning, Machine Learning, Python",8,B.Sc,None,Data Scientist,Hire,9
"Machine Learning, Deep Learning, Python",9,M.Tech,Google ML,Data Scientist,Hire,3
"C++, React, Java, SQL",9,M.Tech,None,Software Engineer,Hire,8
"Deep Learning, Python, Machine Learning, SQL",10,MBA,Deep Learning Specialization,Data Scientist,Hire,2
"Java, React, C++",1,PhD,None,Software Engineer,Reject,3
"Java, C++, React, SQL",8,B.Sc,None,Software Engineer,Hire,1
